OBJECTID,ORIGINL_RM,REPORT_NUM,REPORT_NAM,SCALE,DATE,MAPUNITNOM,MUNOM1,SOIL_CODE1,SOILNAME1,VARIANT1,PHASE1,CLASS1,EXTENT1,MUNOM2,SOIL_CODE2,SOILNAME2,VARIANT2,PHASE2,CLASS2,EXTENT2,MUNOM3,SOIL_CODE3,SOILNAME3,VARIANT3,PHASE3,CLASS3,EXTENT3,SLOPEP1,SLOPEP2,SLOPEP3,TOPO1,TOPO2,TOPO3,STONE1,STONE2,STONE3,EROSION1,EROSION2,EROSION3,SALINITY1,SALINITY2,SALINITY3,SLOPE_LEN1,SLOPE_LEN2,SLOPE_LEN3,LS_MEAN1,LS_MEAN2,LS_MEAN3,C_ERPOLY,C_AGRI,C_SLOPE,C_GEN,C_DRAIN,C_MAN,C_SALT,C_SOIL,C_SURFTEXT,ERCLS1,ERCLS2,ERCLS3,ERPOLY,ERSYMBOL,AGRI_CAP1,AGRI_CAP2,AGRI_CAP3,AGCAP_CLS1,AGCAP_CLS2,AGCAP_CLS3,AGCAP_GRP1,AGCAP_GRP2,AGCAP_GRP3,SOIL_FACT1,LANDSCAPE1,IRRIG_CLA1,GEN_RATIN1,SOIL_FACT2,LANDSCAPE2,IRRIG_CLA2,GEN_RATIN2,SOIL_FACT3,LANDSCAPE3,IRRIG_CLA3,GEN_RATIN3,SPUD_RTNG1,SPUD_RTNG2,SPUD_RTNG3,DRAINAGE1,DRAINAGE2,DRAINAGE3,SURFTEXT1,SURFTEXT2,SURFTEXT3,SURFTEXTM1,SURFTEXTM2,SURFTEXTM3,TEX_GROUP1,TEX_GROUP2,TEX_GROUP3,MANCON1,MANCON2,MANCON3,TOPSOIL1,TOPSOIL2,TOPSOIL3,SAND_GRAV1,SAND_GRAV2,SAND_GRAV3,ROADFILL1,ROADFILL2,ROADFILL3,BASMNT1,BASMNT2,BASMNT3,NO_BASMNT1,NO_BASMNT2,NO_BASMNT3,ROAD_ST1,ROAD_ST2,ROAD_ST3,TRENCHTYP1,TRENCHTYP2,TRENCHTYP3,AREA_TYPE1,AREA_TYPE2,AREA_TYPE3,COVER_MAT1,COVER_MAT2,COVER_MAT3,S_LAGOON1,S_LAGOON2,S_LAGOON3,SEP_FIELD1,SEP_FIELD2,SEP_FIELD3,PLAY_GRND1,PLAY_GRND2,PLAY_GRND3,PICNIC1,PICNIC2,PICNIC3,CAMP_AREA1,CAMP_AREA2,CAMP_AREA3,PATH1,PATH2,PATH3,SHAPE_Length,SHAPE_Area
48325,Stanley,18,"Morden, Winkler","1:20,000",2022/11/24 00:00:00+00,Hb,HHF/xxxx,HHF,Hochfeld,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,23.0,23,21,21,23,20,21,30,23,M,N,N,M,M10,3M,,,3,,,Group 2,,,1,A,1 A,Excellent,,,,,,,,,1,,,W,,,FSL,,,,,,MC,,,No Constraints,,,G,,,Va,,,G,,,Fa,,,Fa,,,Fa,,,Pk,,,Pk,,,G,,,Pk,,,G,,,G,,,G,,,G,,,G,,,4010.00894602506,510511.58087231
90323,SILVER CREEK,6,Rossburn-Virden,"1:126,720",2022/11/24 00:00:00+00,Nc,NDL/xcxx,NDL,Newdale,,,xcxx,60,VRC/xbxs,VRC,Varcoe,,,xbxs,20,DRO/xxxx,DRO,Drokan,,,xxxx,20,3.5,1.0,0.5,c,b,x,x,x,x,x,x,x,x,s,x,2,2,2,0.71777999,0.27671,0.21164,23.0,22,22,22,23,20,22,28,22,M,L,N,M,M6-L2-N2,2T,3N,5W,2,3,5,,,,2kx,Bt2,2kx Bt2,Good,3sw,A,3sw A,Fair,4w,A,4w A,Poor,,,,W,I,P,CL,CL,CL,,,,MF,MF,MF,No Constraints,No Constraints,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4502.26906305681,803328.606857241
87552,COLDWELL,12,Fisher-Teulon,"1:100,000",2022/11/24 00:00:00+00,Is,ISF/xc3x,ISF,Isafold,,,xc3x,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,3,,,x,,,x,,,2,-,-,0.71777999,0.0,0.0,21.0,24,22,23,23,20,21,57,22,N,N,N,N,N10,4DP,,,4,,,,,,3d,Bt2p,3d Bt2p,Fair,,,,,,,,,,,,W,,,CL,,,,,,MF,,,No Constraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16799.9805166076,4166847.05931481
71846,MINITONAS,R18,Swan Lake,"1:125,000",2022/11/24 00:00:00+00,MWK,MWK/xcxx,MWK,Meadowbrook,,,xcxx,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,x,,,x,,,x,,,4,-,-,1.57257,0.0,0.0,25.0,22,22,24,23,33,21,64,21,S,N,N,S,S10,2T,,,2,,,,,,4kx,Bt2,4kx Bt2,Poor,,,,,,,,,,,,W,,,C,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24536.1318992097,6919287.17278398
30043,Portage la Prairie,D20,West Portage - MacGregor,"1:20,000",2022/11/24 00:00:00+00,SKL/xcxx,SKL/xcxx,SKL,Skelding,,,xcxx,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,x,,,x,,,x,,,1.0,,,0.45396,0.0,0.0,21.0,26,22,23,22,21,21,26,24,N,N,N,N,N10,6M,,,6,,,Group 4,,,3m,Bt2,3m Bt2,Fair,,,,,,,,,4,,,R,,,FS,,,,,,CO,,,C,,,Vb,,,Fa,,,G,,,G,,,G,,,G,,,Vks,,,Vk,,,Pq,,,Vk,,,Gg,,,Pm,,,Pm,,,Fs,,,Ps,,,4584.65008008246,246033.978960777
115803,Riverdale,D98,Riverdale,"1:20,000",2022/11/24 00:00:00+00,FND/1dxx,FND/1dxx,FND,Fairland,,,1dxx,100,,,,,,,0,,,,,,,0,-99.0,,-99.0,d,,,x,,,1,,,x,,,,,,-99.0,-99.0,-99.0,-99.0,23,-99,23,23,-99,21,31,22,,,,,,3T,,,3,,,Group 1,,,1,Ct2,1 Ct2,Fair,,,,,,,,,4,,,W,,,L,,,,,,ME,,,,,,Fbt,,,Va,,,Fa,,,Fa,,,Fa,,,Fa,,,Gg,,,Gg,,,G,,,Ptg,,,Fk,,,Pt,,,G,,,G,,,G,,,3701.21866621229,-382170.478890594
76426,GRAHAMDALE,16,Grahamdale,"1:126,720",2022/11/24 00:00:00+00,In:8-Ml(P):2,IWO/xx3x,IWO,Inwood,,,xx3x,80,MEBp/xx3x,MEB,"Meleb, peaty",,p,xx3x,20,,,,,,,0,1.0,0.5,-9.0,x,x,,3,3,,x,x,,x,x,,3,3,-,0.42868,0.32788,0.0,21.0,24,21,23,25,20,21,56,22,N,N,N,N,N8-N2,4DP,6W,,4,6,,,,,3dw,Bp,3dw Bp,Fair,4w,Bp,4w Bp,Poor,,,,,,,,I,VP,,SCL,M,,,,,MF,Om,,No Constraints,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9608.33758962455,2662301.26705044
57159,Springfield,D88,Springfield,"1:20,000",2022/11/24 00:00:00+00,BVR5-SUW5,BVR/xxxx,BVR,Beaverdam Lake,,,xxxx,50,SUW/xxxx,SUW,Sundown,,,xxxx,50,,,,,,,0,-99.0,-99.0,-99.0,x,x,,x,x,,x,x,,x,x,,,,,-99.0,-99.0,-99.0,-99.0,24,-99,23,25,-99,21,18,23,,,,,,4M,5W,,4,5,,Group 2,Group 3,,3mx,A,3mx A,Fair,4w,A,4w A,Poor,,,,,5,5.0,,I,P,,SL,LS,,,,,MC,CO,,,,,Pcs,Pcs,,Pax,G,,Fw,Pw,,Pw,Vhw,,Fw,Phw,,Fw,Pw,,Phw,Vwg,,Fwg,Vhk,,Fcs,Vcs,,Pk,Vhk,,Phk,Vhg,,Pq,Pqw,,Fsw,Pw,,Fsw,Pw,,Fw,Pw,,1716.08544158326,170716.196863773
98145,St Clements,15,Lac du Bonnet,"1:126,720",2022/11/24 00:00:00+00,Os/T,KLId/xxxx,KLI,"Kline, drained",,d,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,-,-,0.32788,0.0,0.0,21.0,23,21,24,26,40,21,40,21,N,N,N,N,N10,3W,,,3,,,,,,4kw,A,4kw A,Poor,,,,,,,,,,,,P,,,C,,,,,,F,,,FW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2059.53800229368,114142.659313582
107559,WOODWORTH,6,Rossburn-Virden,"1:126,720",2022/11/24 00:00:00+00,Msh (m),CAV/xcxx,CAV,Carvey,,,xcxx,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,x,,,x,,,x,,,1,-,-,0.45396,0.0,0.0,21.0,25,22,24,26,31,21,74,22,N,N,N,N,N10,5W,,,5,,,,,,4w,Bt2,4w Bt2,Poor,,,,,,,,,,,,P,,,CL,,,,,,MF,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880.6502529229,133481.163809826
