ORIGINL_RM,C_AGRI,has_fine_texture,has_wetness,has_topography,has_coarse_texture,has_bedrock,has_no_constraints,has_rock,has_organic,has_marsh,has_water,W_MANCON1,W_MANCON2,W_MANCON3,Total_W_MANCON,ERPOLY_missing,encoded_ERPOLY,encoded_C_SLOPE,C_SLOPE_is_water,C_SLOPE_is_urban,C_SLOPE_is_marsh,C_SLOPE_is_erodedSlope,encoded_C_DRAIN,C_DRAIN_is_water,C_DRAIN_is_urban,C_DRAIN_is_marsh,C_DRAIN_is_erodedSlope,encoded_C_SALT,C_SALT_is_water,C_SALT_is_urban,C_SALT_is_marsh,C_SALT_is_erodedSlope,encoded_C_SURFTEXT,C_SURFTEXT_is_water,C_SURFTEXT_is_urban,C_SURFTEXT_is_marsh,C_SURFTEXT_is_erodedSlope,ERPOLY_H,ERPOLY_L,ERPOLY_M,ERPOLY_Missing,ERPOLY_N,ERPOLY_S,GEN_RATIN1_$ZZ,GEN_RATIN1_Excellent,GEN_RATIN1_Fair,GEN_RATIN1_Good,GEN_RATIN1_ORG,GEN_RATIN1_Poor,MANCON1_,MANCON1_C,MANCON1_CW,MANCON1_ERODEDSLOPES,MANCON1_F,MANCON1_FT,MANCON1_FW,MANCON1_MARSH,MANCON1_NOCONSTRAINTS,MANCON1_ORGANIC,MANCON1_T,MANCON1_W,MANCON1_WATER,MANCON2_,MANCON2_C,MANCON2_CT,MANCON2_CW,MANCON2_F,MANCON2_MARSH,MANCON2_NOCONSTRAINTS,MANCON2_ORGANIC,MANCON2_ROCK,MANCON2_W,MANCON3_,MANCON3_C,MANCON3_FW,MANCON3_NOCONSTRAINTS,MANCON3_W
RUSSELL,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5.0,5.0,0,0,0,0,2.0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Roland,1,0,0,1,1,0,1,0,0,0,0,3.0,0.0,0.0,3.0,0,2.0,1.0,0,0,0,0,3.0,0,0,0,0,1.0,0,0,0,0,3.0,0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Springfield,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,6.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
South Cypress,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,6.0,0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
North Cypress,3,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0,1.0,1.0,0,0,0,0,5.0,0,0,0,0,1.0,0,0,0,0,4.0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Rhineland,1,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0,2.0,1.0,0,0,0,0,5.0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Langford,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,5.0,0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
BIFROST,4,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0,1.0,2.0,0,0,0,0,2.0,0,0,0,0,1.0,0,0,0,0,4.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Portage la Prairie,2,0,0,1,1,0,1,0,0,0,0,3.0,0.0,0.0,3.0,0,2.0,1.0,0,0,0,0,5.0,0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Coldwell,8,0,1,1,0,0,0,0,0,0,1,2.0,0.0,0.0,2.0,1,0.0,0.0,1,0,0,0,0.0,1,0,0,0,0.0,1,0,0,0,0.0,1,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Elton,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,6.0,0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
COLDWELL,6,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1.0,1.0,0,0,0,0,7.0,0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
SIFTON,2,0,0,1,1,0,1,0,0,0,0,1.2,1.2,0.2,2.6,0,3.0,2.0,0,0,0,0,3.0,0,0,0,0,1.0,0,0,0,0,3.0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
