OBJECTID,ORIGINL_RM,REPORT_NUM,REPORT_NAM,SCALE,DATE,MAPUNITNOM,MUNOM1,SOIL_CODE1,SOILNAME1,VARIANT1,PHASE1,CLASS1,EXTENT1,MUNOM2,SOIL_CODE2,SOILNAME2,VARIANT2,PHASE2,CLASS2,EXTENT2,MUNOM3,SOIL_CODE3,SOILNAME3,VARIANT3,PHASE3,CLASS3,EXTENT3,SLOPEP1,SLOPEP2,SLOPEP3,TOPO1,TOPO2,TOPO3,STONE1,STONE2,STONE3,EROSION1,EROSION2,EROSION3,SALINITY1,SALINITY2,SALINITY3,SLOPE_LEN1,SLOPE_LEN2,SLOPE_LEN3,LS_MEAN1,LS_MEAN2,LS_MEAN3,C_ERPOLY,C_AGRI,C_SLOPE,C_GEN,C_DRAIN,C_MAN,C_SALT,C_SOIL,C_SURFTEXT,ERCLS1,ERCLS2,ERCLS3,ERPOLY,ERSYMBOL,AGRI_CAP1,AGRI_CAP2,AGRI_CAP3,AGCAP_CLS1,AGCAP_CLS2,AGCAP_CLS3,AGCAP_GRP1,AGCAP_GRP2,AGCAP_GRP3,SOIL_FACT1,LANDSCAPE1,IRRIG_CLA1,GEN_RATIN1,SOIL_FACT2,LANDSCAPE2,IRRIG_CLA2,GEN_RATIN2,SOIL_FACT3,LANDSCAPE3,IRRIG_CLA3,GEN_RATIN3,SPUD_RTNG1,SPUD_RTNG2,SPUD_RTNG3,DRAINAGE1,DRAINAGE2,DRAINAGE3,SURFTEXT1,SURFTEXT2,SURFTEXT3,SURFTEXTM1,SURFTEXTM2,SURFTEXTM3,TEX_GROUP1,TEX_GROUP2,TEX_GROUP3,MANCON1,MANCON2,MANCON3,TOPSOIL1,TOPSOIL2,TOPSOIL3,SAND_GRAV1,SAND_GRAV2,SAND_GRAV3,ROADFILL1,ROADFILL2,ROADFILL3,BASMNT1,BASMNT2,BASMNT3,NO_BASMNT1,NO_BASMNT2,NO_BASMNT3,ROAD_ST1,ROAD_ST2,ROAD_ST3,TRENCHTYP1,TRENCHTYP2,TRENCHTYP3,AREA_TYPE1,AREA_TYPE2,AREA_TYPE3,COVER_MAT1,COVER_MAT2,COVER_MAT3,S_LAGOON1,S_LAGOON2,S_LAGOON3,SEP_FIELD1,SEP_FIELD2,SEP_FIELD3,PLAY_GRND1,PLAY_GRND2,PLAY_GRND3,PICNIC1,PICNIC2,PICNIC3,CAMP_AREA1,CAMP_AREA2,CAMP_AREA3,PATH1,PATH2,PATH3,SHAPE_Length,SHAPE_Area
92697,HARRISON,6,Rossburn-Virden,"1:126,720",2022/11/24 00:00:00+00,Rs,DVD/xcxx,DVD,Davidson,,,xcxx,60,PPL/xbxx,PPL,Poppleton,,,xbxx,20,VSTp/xxxx,VST,"Vista, peaty",,p,xxxx,20,3.5,1.0,0.5,c,b,x,x,x,x,x,x,x,x,x,x,2.0,2,2,0.71777999,0.27671,0.21164,22.0,23,22,22,23,21,21,21,24,M,N,N,L,M6-N2-N2,3M,3MW,6W,3,3,6,,,,2m,Bt2,2m Bt2,Good,2mw,A,2mw A,Good,4w,A,4w A,Poor,,,,W,I,VP,LFS,LFS,M,,,,CO,CO,Om,C,C,CW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573.86919761544,139885.490209715
18519,Brokenhead,D14,Winnipeg Region,"1:20,000",2022/11/24 00:00:00+00,Sd,STD/xxxx,STD,Stead,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,ORG,,,ORG,,,ORG,,,3.0,,,0.32788,0.0,0.0,21.0,28,21,25,27,45,21,36,26,N,N,N,N,N10,O4W,,,O4,,,Group 4,,,0,A,0 A,ORG,,,,,,,,,5,,,VP,,,M,,,,,,Om,,,Organic,,,Vw,,,Vah,,,Vah,,,Vaw,,,Vaw,,,Vaw,,,Vhw,,,Vhw,,,Vsw,,,Vah,,,Vhg,,,Vsw,,,Vsw,,,Vsw,,,Vsw,,,3374.6738387885,125305.311547752
684,Hanover,D82,Hanover,"1:50,000",2022/11/24 00:00:00+00,OBOd,OBOd/xxxx,OBO,"Osborne, drained",,d,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,21.0,23,21,24,26,40,21,40,21,N,N,N,N,N10,3W,,,3,,,Group 1,,,4kw,A,4kw A,Poor,,,,,,,,,5,,,P,,,C,,,,,,F,,,FW,,,Ps,,,Va,,,Pal,,,Vw,,,Paw,,,Paw,,,Vw,,,Pw,,,Psw,,,G,,,Vhk,,,Psw,,,Psw,,,Psw,,,Psw,,,7438.33729592889,2193284.14368438
95949,ALEXANDER,R23,Pointe du Bois,"1:125,000",2022/11/24 00:00:00+00,LTI:6;MUW:4,LTI/xcxx,LTI,Lettonia,,,xcxx,60,MUW/xcxx,MUW,Mukatawa,,,xcxx,40,,,,,,,0,3.5,3.5,-9.0,c,c,,x,x,,x,x,,x,x,,2.0,2,-,0.71777999,0.71777999,0.0,22.0,23,22,24,23,33,21,64,21,M,N,N,L,M6-N4,3D,3D,,3,3,,,,,4kx,Bt2,4kx Bt2,Poor,4dk,Bt2,4dk Bt2,Poor,,,,,,,,W,I,,C,C,,,,,F,F,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6760.22263434806,839369.848329097
77070,LAWRENCE,21,Ste. Rose du Lac,"1:125,000",2022/11/24 00:00:00+00,Is,ISF/xc3x,ISF,Isafold,,,xc3x,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,3,,,x,,,x,,,2,-,-,0.71777999,0.0,0.0,21.0,24,22,23,23,20,21,57,22,N,N,N,N,N10,4DP,,,4,,,,,,3d,Bt2p,3d Bt2p,Fair,,,,,,,,,,,,W,,,CL,,,,,,MF,,,No Constraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8740.08260825614,1424297.20747243
57646,Springfield,D88,Springfield,"1:20,000",2022/11/24 00:00:00+00,RIV8-OBOd2,RIV/xxxx,RIV,Red River,,,xxxx,80,OBOd/xxxx,OBO,"Osborne, drained",,d,xxxx,20,,,,,,,0,-99.0,-99.0,-99.0,x,x,,x,x,,x,x,,x,x,,,,,-99.0,-99.0,-99.0,-99.0,22,-99,24,25,-99,21,33,21,,,,,,2W,3W,,2,3,,Group 1,Group 1,,4kx,A,4kx A,Poor,4kw,A,4kw A,Poor,,,,,5,5.0,,I,P,,C,C,,,,,F,F,,,,,Ps,Ps,,Va,Va,,Pal,Pal,,Paw,Vw,,Pa,Paw,,Pa,Paw,,Psw,Vw,,Fw,Pw,,Ps,Psw,,G,G,,Vk,Vhk,,Pks,Psw,,Psw,Psw,,Pks,Psw,,Ps,Psw,,11942.9700545666,2059860.16882758
95643,ROSEDALE,8,West-Lake,"1:126,720",2022/11/24 00:00:00+00,Edm,OHV/xbxx,OHV,Ochre River,,,xbxx,100,,,,,,,0,,,,,,,0,1.0,-9.0,-9.0,b,,,x,,,x,,,x,,,2.0,-,-,0.27671,0.0,0.0,21.0,22,21,23,25,33,21,22,21,N,N,N,N,N10,2W,,,2,,,,,,3w,A,3w A,Fair,,,,,,,,,,,,I,,,C,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.57031271513,30342.5303548818
5224,Pembina,D77,Pembina,"1:50,000",2022/11/24 00:00:00+00,MXS7-FFR3/1dxx-1dxx,MXS/1dxx,MXS,Manitou,,,1dxx,70,FFR/1dxx,FFR,Fifere,,,1dxx,30,,,,,,,0,7.5,7.5,-9.0,d,d,,x,x,,1,1,,x,x,,3.0,3,,2.82671,2.82671,0.0,25.0,23,23,23,23,24,21,28,22,S,S,N,S,S7-S3,3T,3T,,3,3,,Group 1,Group 1,,2kx,Ct2,2kx Ct2,Fair,2kx,Ct2,2kx Ct2,Fair,,,,,4,4.0,,W,W,,CL,CL,,,,,MF,MF,,T,No Constraints,,Fst,Pb,,Va,Va,,Fa,Fa,,Fa,Fa,,Fa,Fa,,Fa,Fa,,Fs,Fks,,G,G,,Fs,Fs,,Pt,Pt,,Pk,Pk,,Pt,Pt,,Fs,Fs,,Fs,Fs,,Fs,Fs,,6578.19514109212,2141648.35865249
35262,Victoria,D75,Victoria RM,"1:20,000",2022/11/24 00:00:00+00,SXPp,SXPp/xxxx,SXP,"Sutton, peaty",,p,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,21.0,26,21,24,27,31,21,38,26,N,N,N,N,N10,6W,,,6,,,Group 4,,,4w,A,4w A,Poor,,,,,,,,,5,,,VP,,,M,,,,,,Om,,,W,,,Vw,,,Vah,,,Vw,,,Vhw,,,Vaw,,,Pw,,,Vhw,,,Vhw,,,Vsw,,,Vah,,,Vhg,,,Vsw,,,Vsw,,,Vsw,,,Vs,,,1531.91406729121,160339.996492459
9534,Roblin,D92,Roblin (RM),"1:50,000",2022/11/24 00:00:00+00,JYL6-GRR4/xbxx-xbxx,JYL/xbxx,JYL,Joyale,,,xbxx,60,GRR/xbxx,GRR,Guerra,,,xbxx,40,,,,,,,0,-99.0,-99.0,-99.0,b,b,,x,x,,x,x,,x,x,,,,,-99.0,-99.0,-99.0,-99.0,22,-99,23,25,-99,21,31,22,,,,,,2W,5W,,2,5,,Group 1,Group 3,,3w,A,3w A,Fair,4w,A,4w A,Poor,,,,,4,5,,I,P,,CL,CL,,,,,MF,MF,,,,,Fs,Fs,,Va,Va,,Faw,Pw,,Pw,Vw,,Faw,Pw,,Faw,Pw,,Pw,Vhw,,Fw,Pw,,Fs,Pw,,Fak,Ph,,Phk,Vh,,Fsw,Pw,,Fsw,Pw,,Fsw,Pw,,Fsw,Pw,,2379.26015112186,-218442.80372559
